Kurskod,Kursnamn,Poäng,Ämne
"FRID1000X","Nivå 1","200","Fritid och friskvård"
"FRIDRF0","Drift och underhåll av fritidsanläggningar","100","Fritids- och friskvårdsverksamheter"
"FRIE1000X","Nivå 1","200","Frisör – teknik"
"FRIE2000X","Nivå 2","200","Frisör – teknik"
"FRIFRS0","Fritidsmiljöer och arenor","100","Fritids- och friskvårdsverksamheter"
"FRIFRT0","Fritids- och friskvårdsverksamheter","200","Fritids- och friskvårdsverksamheter"
"FRII1000X","Nivå 1","100","Fritidsanläggningars skötsel och drift"
"FRII2000X","Nivå 2","100","Fritidsanläggningars skötsel och drift"
"FRIO1N0","Nivå 1","100","Fritid och friskvård"
"FRIR1000X","Nivå 1","100","Frisör – fördjupning"
"FRIR2000X","Nivå 2","100","Frisör – fördjupning"
"FRIR3000X","Nivå 3","100","Frisör – fördjupning"
"FRIS1N0","Nivå 1","100","Fritidsanläggningars drift"
"FRIT1000X","Nivå 1","100","Fritidskunskap"
"FROFRI5","Friluftsliv","100","Fritid och friskvård"
"FROFRT51","Fritid och friskvård 1","100","Fritid och friskvård"
"FROFRT52","Fritid och friskvård 2","100","Fritid och friskvård"
"FROT100TX","Nivå 1","100","Frontendutveckling"
"FROT200TX","Nivå 2","100","Frontendutveckling"
"FRTFRD0","Fritids- och idrottskunskap","100","Fritids- och idrottskunskap"
"FRUK1000X","Nivå 1","100","Frukost- och bufféservering"
"FRUO1N0","Nivå 1","100","Frukost och buffé"
"FRUO2N0","Nivå 2","100","Frukost och buffé"
"FUNK1000X","Nivå 1","100","Funktionsförmåga och funktionsnedsättning"
"FUNK2000X","Nivå 2","100","Funktionsförmåga och funktionsnedsättning"
"FUTFUN01","Funktionsförmåga och funktionsnedsättning 1","100","Funktionsförmåga och funktionsnedsättning"
"FUTFUN02","Funktionsförmåga och funktionsnedsättning 2","100","Funktionsförmåga och funktionsnedsättning"
"FYSF1000X","Nivå 1","100","Fysik – fördjupning"
"FYSFYS01a","Fysik 1a","150","Fysik"
"FYSFYS01b1","Fysik 1b1","100","Fysik"
"FYSFYS01b2","Fysik 1b2","50","Fysik"
"FYSFYS02","Fysik 2","100","Fysik"
"FYSFYS03","Fysik 3","100","Fysik"
"FYSI1000X","Nivå 1","100","Fysisk teater"
"FYSK1A10X","Nivå 1a1","100","Fysik"
"FYSK1A20X","Nivå 1a2","50","Fysik"
"FYSK1B00X","Nivå 1b","150","Fysik"
"FYSK2000X","Nivå 2","100","Fysik"
"FÖRENT0","Entreprenörskap och företagande","100","Företagsekonomi"
"FÖRFÖR00S","Företagsekonomi – specialisering","100","Företagsekonomi"
"FÖRFÖR01","Företagsekonomi 1","100","Företagsekonomi"
"FÖRFÖR02","Företagsekonomi 2","100","Företagsekonomi"
"FÖRMAD0","Marknadsföring","100","Företagsekonomi"
"FÖRRED01","Redovisning 1","100","Företagsekonomi"
"FÖRRED02","Redovisning 2","100","Företagsekonomi"
"FÖSPER01","Personlig försäljning 1","100","Försäljning och kundservice"
"FÖSPER02","Personlig försäljning 2","100","Försäljning och kundservice"
"FÖSSER02","Servicekunskap 2","100","Försäljning och kundservice"
"FÖSSEV01","Servicekunskap 1","100","Försäljning och kundservice"
"GASGAS0","Gasturbinmotorer","200","Gasturbinmotorer – flyg"
"GASS1000X","Nivå 1","100","Gassvetsning rör"
"GEGGEO51","Geografi 1","100","Geografi"
"GEGGEO52","Geografi 2","100","Geografi"
"GEOG1000X","Nivå 1","100","Geografi"
"GEOG2000X","Nivå 2","100","Geografi"
"GEOGEO0","Geografiska informationssystem","100","Geografi"
"GEOGEO01","Geografi 1","100","Geografi"
"GEOGEO02","Geografi 2","100","Geografi"
"GEOR1N0","Nivå 1","100","Geografi"
"GEOR2N0","Nivå 2","100","Geografi"
"GERGER0","Gerontologi och geriatrik","100","Gerontologi och geriatrik"
"GERO1000X","Nivå 1","100","Gerontologi och geriatrik"
"GLAA1000X","Nivå 1","200","Glasarbete"
"GLAB1000X","Nivå 1","100","Glasblåsning"
"GLAB2000X","Nivå 2","200","Glasblåsning"
"GLAB3000X","Nivå 3","200","Glasblåsning"
"GLAB4000X","Nivå 4","200","Glasblåsning"
"GLAF1000X","Nivå 1","100","Glasförädling"
"GLAF2000X","Nivå 2","200","Glasförädling"
"GLAF3000X","Nivå 3","200","Glasförädling"
"GLAF4000X","Nivå 4","200","Glasförädling"
"GLAS1000X","Nivå 1","100","Glasteknik"
"GLAS2000X","Nivå 2","200","Glasteknik"
"GLAS3000X","Nivå 3","100","Glasteknik"
"GODA1000X","Nivå 1","100","Godstransporter – tank och bulk"
"GODD1000X","Nivå 1","100","Godstransporter – distribution och fjärr"
"GODE1000X","Nivå 1","100","Godshantering – truck"
"GODE2000X","Nivå 2","100","Godshantering – truck"
"GODGOD1","Godshantering – vux","100","Godshantering"
"GODH1000X","Nivå 1","100","Godshantering – fordonsmonterad kran"
"GODHAT0","Hantering av varor och gods","200","Godshantering"
"GODI1N0","Nivå 1","200","Godshantering, lager och terminal"
"GODI2N0","Nivå 2","200","Godshantering, lager och terminal"
"GODI3N0","Nivå 3","200","Godshantering, lager och terminal"
"GODK1000X","Nivå 1","100","Godstransporter – skog"
"GODLAS0","Lastbärare","200","Godshantering"
"GODMAL0","Maskinell godshantering","200","Godshantering"
