Kurskod,Kursnamn,Poäng,Ämne
"LOGT1N0","Nivå 1","100","Logistik"
"LOKL1N0","Nivå 1","100","Lokalvård"
"LOKL2N0","Nivå 2","100","Lokalvård"
"LOKLOK51","Lokalvård 1","100","Lokalvård"
"LOKLOK52","Lokalvård 2","100","Lokalvård"
"MAAMAA01","Massage 1","100","Massage"
"MAAMAA02","Massage 2","100","Massage"
"MACMAT0","Mat och dryck i kombination","100","Mat och dryck i kombination"
"MADMAL5","Måltids- och branschkunskap","200","Måltids- och branschkunskap"
"MAEMAT01","Materialkunskap 1","100","Materialkunskap"
"MAEMAT02","Materialkunskap 2","100","Materialkunskap"
"MAFMAL51","Måleri 1","100","Måleri"
"MAFMAL52","Måleri 2","100","Måleri"
"MAGMAT51","Matlagning 1","100","Matlagningskunskap"
"MAGMAT52","Matlagning 2","100","Matlagningskunskap"
"MAGMAT53","Matlagning 3","100","Matlagningskunskap"
"MAIBAT01","Båtel 1","100","Marin el och elektronik"
"MAIBAT02","Båtel 2","100","Marin el och elektronik"
"MAIMAR01","Marinelektronik 1","100","Marin el och elektronik"
"MAIMAR02","Marinelektronik 2","100","Marin el och elektronik"
"MAIMAR03","Marinelektronik 3","100","Marin el och elektronik"
"MAIMOT01","Motorelektronik 1","100","Marin el och elektronik"
"MAIMOT02","Motorelektronik 2","100","Marin el och elektronik"
"MAIN1000X","Nivå 1","100","Marin el"
"MAIN2000X","Nivå 2","100","Marin el"
"MAKMAS0","Maskinbefäl","100","Maskintjänst"
"MAKMAS01","Maskintjänst 1","300","Maskintjänst"
"MAKMAS02","Maskintjänst 2","300","Maskintjänst"
"MALA1000X","Nivå 1","200","Måleri – äldre måleritekniker"
"MALD1N0","Nivå 1","200","Måltid och bransch"
"MALD2N0","Nivå 2","200","Måltid och bransch"
"MALD3N0","Nivå 3","100","Måltid och bransch"
"MALE1000X","Nivå 1","200","Måleri"
"MALE2000X","Nivå 2","200","Måleri"
"MALE3000X","Nivå 3","200","Måleri"
"MALI1000X","Nivå 1","200","Måleri – invändigt"
"MALMAL00S","Matlagning – specialisering","100","Matlagningskunskap"
"MALMAL01","Matlagning 1","100","Matlagningskunskap"
"MALMAL02","Matlagning 2","200","Matlagningskunskap"
"MALMAL03","Matlagning 3","200","Matlagningskunskap"
"MALMAL04","Matlagning 4","200","Matlagningskunskap"
"MALR1N0","Nivå 1","100","Måleri"
"MALR2N0","Nivå 2","100","Måleri"
"MALSPE0","Specialkoster","100","Matlagningskunskap"
"MALT1000X","Nivå 1","200","Måltid och bransch"
"MALT2000X","Nivå 2","100","Måltid och bransch"
"MALU1000X","Nivå 1","100","Måleri – utvändigt"
"MAMMAT51","Matematik 1","100","Matematik"
"MAMMAT52","Matematik 2","100","Matematik"
"MAMMAT53","Matematik 3","100","Matematik"
"MANDIA0","Diagnos och reparation","100","Marinmotorteknik"
"MANI1000X","Nivå 1","100","Människans säkerhet"
"MANINT0","Intervallservice","100","Marinmotorteknik"
"MANK1N0","Nivå 1","100","Människan"
"MANMAR0","Marinmotor – introduktion","100","Marinmotorteknik"
"MANN1000X","Nivå 1","100","Människans språk"
"MANN2000X","Nivå 2","100","Människans språk"
"MANNYI0","Nyinstallation","100","Marinmotorteknik"
"MANO1N0","Nivå 1","100","Människokroppen"
"MANS1000X","Nivå 1","100","Människan i industrin"
"MANS2000X","Nivå 2","100","Människan i industrin"
"MANU1000X","Nivå 1","100","Manuell mönsterkonstruktion"
"MANU2000X","Nivå 2","100","Manuell mönsterkonstruktion"
"MAOMAT00S","Mat och butik – specialisering","100","Mat och butik"
"MAOMAT01","Mat och butik 1","100","Mat och butik"
"MAOMAT02","Mat och butik 2","100","Mat och butik"
"MAPMAN5","Människokroppen","100","Människokroppen"
"MARA1000X","Nivå 1","200","Marina system"
"MARA2000X","Nivå 2","100","Marina system"
"MARE1000X","Nivå 1","200","Marintekniskt underhåll"
"MARK1000X","Nivå 1","100","Marknadsföring"
"MARK2000X","Nivå 2","100","Marknadsföring"
"MARL1000X","Nivå 1","100","Marklära"
"MARM1000X","Nivå 1","100","Marin motorteknik"
"MARM2000X","Nivå 2","100","Marin motorteknik"
"MARM3000X","Nivå 3","200","Marin motorteknik"
"MARMAE0","Måleri – dekorationstekniker","100","Måleri"
"MARMAL0","Måleriprocessen","200","Måleri"
"MARMAL01","Måleri 1","200","Måleri"
"MARMAL02","Måleri 2","200","Måleri"
"MARMAL03","Måleri 3","200","Måleri"
"MARMAL04","Måleri 4","200","Måleri"
"MARMAL05","Måleri 5","200","Måleri"
"MARMAR0","Måleri – äldre måleritekniker","100","Måleri"
"MARN1000X","Nivå 1","100","Marknadsföring inom besöksnäringen"
"MARN2000X","Nivå 2","100","Marknadsföring inom besöksnäringen"
"MART1000X","Nivå 1","200","Marinteknisk byggnation"
"MART2000X","Nivå 2","200","Marinteknisk byggnation"
"MART3000X","Nivå 3","100","Marinteknisk byggnation"
"MASB1000X","Nivå 1","100","Matematik – specialisering B"
"MASC1000X","Nivå 1","100","Matematik – specialisering C"
"MASI1000X","Nivå 1","100","Maskinbefäl"
"MASK1000X","Nivå 1","100","Maskiner och teknisk utrustning inom naturbruk"
"MASK2000X","Nivå 2","100","Maskiner och teknisk utrustning inom naturbruk"
"MASK3000X","Nivå 3","100","Maskiner och teknisk utrustning inom naturbruk"
"MASN1000X","Nivå 1","250","Maskintjänst"
"MASN2000X","Nivå 2","250","Maskintjänst"
"MASS1000X","Nivå 1","100","Massage"
"MATA1N0","Nivå 1","100","Matlagning"
"MATA2N0","Nivå 2","100","Matlagning"
"MATA3N0","Nivå 3","200","Matlagning"
"MATC1000X","Nivå 1","100","Mät- och reglerteknik"
"MATD1000X","Nivå 1","100","Mat och dryck i kombination"
"MATD2000X","Nivå 2","100","Mat och dryck i kombination"
"MATE1A00X","Nivå 1a","100","Matematik"
"MATE1B00X","Nivå 1b","100","Matematik"
"MATE1C00X","Nivå 1c","100","Matematik"
"MATE2A00X","Nivå 2a","100","Matematik"
"MATE2B00X","Nivå 2b","100","Matematik"
"MATE2C00X","Nivå 2c","100","Matematik"
"MATF1000X","Nivå 1","100","Matematik – fördjupning"
"MATG1000X","Nivå 1","100","Matlagning"
"MATG2000X","Nivå 2","100","Matlagning"
"MATG3000X","Nivå 3","200","Matlagning"
"MATG4000X","Nivå 4","200","Matlagning"
"MATG5000X","Nivå 5","200","Matlagning"
"MATH1N0","Nivå 1","100","Mat och butik"
"MATH2N0","Nivå 2","100","Mat och butik"
"MATM1N0","Nivå 1","100","Matematik"
"MATM2N0","Nivå 2","100","Matematik"
"MATMAT00S","Matematik – specialisering","100","Matematik"
"MATMAT01a","Matematik 1a","100","Matematik"
"MATMAT01b","Matematik 1b","100","Matematik"
"MATMAT01c","Matematik 1c","100","Matematik"
"MATMAT02a","Matematik 2a","100","Matematik"
"MATMAT02b","Matematik 2b","100","Matematik"
"MATMAT02c","Matematik 2c","100","Matematik"
"MATMAT03b","Matematik 3b","100","Matematik"
"MATMAT03c","Matematik 3c","100","Matematik"
"MATMAT04","Matematik 4","100","Matematik"
"MATMAT05","Matematik 5","100","Matematik"
"MATO1B00X","Nivå 1b","100","Matematik – fortsättning"
"MATO1C00X","Nivå 1c","100","Matematik – fortsättning"
"MATO2000X","Nivå 2","100","Matematik – fortsättning"
"MATP1N0","Nivå 1","100","Matupplevelser"
"MATR1000X","Nivå 1","100","Materialteknik"
"MATR2000X","Nivå 2","100","Materialteknik"
"MATT100PX","Nivå 1","100","Matematik spets"
"MAUMAT5","Matupplevelser","100","Matupplevelser"
"MAVMAT51","Material och verktyg 1","100","Material och verktyg"
"MAVMAT52","Material och verktyg 2","100","Material och verktyg"
"MAYMAR0","Marina elektroniksystem","100","Marina elektroniksystem"
"MEAW1000X","Nivå 1","100","Modersmål – meänkieli som andraspråk (nybörjare)"
"MEAW2000X","Nivå 2","100","Modersmål – meänkieli som andraspråk (nybörjare)"
"MEAW3000X","Nivå 3","100","Modersmål – meänkieli som andraspråk (nybörjare)"
"MEAX1000X","Nivå 1","100","Modersmål – meänkieli som förstaspråk"
"MEAX2000X","Nivå 2","100","Modersmål – meänkieli som förstaspråk"
"MEAX3000X","Nivå 3","100","Modersmål – meänkieli som förstaspråk"
"MEAY1000X","Nivå 1","100","Modersmål – meänkieli som andraspråk (fortsättning)"
"MEAY2000X","Nivå 2","100","Modersmål – meänkieli som andraspråk (fortsättning)"
"MEAY3000X","Nivå 3","100","Modersmål – meänkieli som andraspråk (fortsättning)"
"MEDC100TX","Nivå 1","100","Medicinsk teknik"
"MEDC200TX","Nivå 2","100","Medicinsk teknik"
"MEDE1N0","Nivå 1","100","Medieproduktion"
"MEDI1000X","Nivå 1","100","Medier, journalistik och kommunikation"
"MEDI2000X","Nivå 2","100","Medier, journalistik och kommunikation"
"MEDI3000X","Nivå 3","100","Medier, journalistik och kommunikation"
"MEDP1000X","Nivå 1","100","Medieproduktion"
"MEDP2000X","Nivå 2","100","Medieproduktion"
"MEDT1000X","Nivå 1","100","Medieteori"
"MEDT2000X","Nivå 2","100","Medieteori"
"MEEJOU01","Journalistik, reklam och information 1","100","Mediekommunikation"
"MEEJOU02","Journalistik, reklam och information 2","100","Mediekommunikation"
"MEETET0","Textkommunikation","100","Mediekommunikation"
"MEIELE0","Elektromedicinsk teknik","100","Medicinsk teknik"
"MEIGAS0","Gas- och vätsketeknik","100","Medicinsk teknik"
"MEIRAD0","Radiologiska utrustningar","100","Medicinsk teknik"
"MEKA1000X","Nivå 1","100","Mekaniskt underhåll"
"MEKA2000X","Nivå 2","100","Mekaniskt underhåll"
"MEKMEK01","Mekatronik 1","100","Mekatronik"
"MEKMEK02","Mekatronik 2","100","Mekatronik"
"MENW1N0","Nivå 1","100","Modersmål – meänkieli som andraspråk (nybörjare)"
"MENW2N0","Nivå 2","100","Modersmål – meänkieli som andraspråk (nybörjare)"
"MENX1N0","Nivå 1","100","Modersmål – meänkieli som förstaspråk"
"MENX2N0","Nivå 2","100","Modersmål – meänkieli som förstaspråk"
"MENY1N0","Nivå 1","100","Modersmål – meänkieli som andraspråk (fortsättning)"
"MENY2N0","Nivå 2","100","Modersmål – meänkieli som andraspråk (fortsättning)"
"MEOANI5","Animation","100","Medieproduktion"
"MEOMED5","Medieproduktion","100","Medieproduktion"
"MEPMEI01","Medieproduktion 1","100","Medieproduktion"
"MEPMEI02","Medieproduktion 2","100","Medieproduktion"
"MERMEE01","Medier, samhälle och kommunikation 1","100","Medier, samhälle och kommunikation"
"MERMEE02","Medier, samhälle och kommunikation 2","100","Medier, samhälle och kommunikation"
"MILC100TX","Nivå 1","100","Miljöcertifierad byggnation"
"MILJ1000X","Nivå 1","100","Miljö- och energikunskap"
"MILJ2000X","Nivå 2","100","Miljö- och energikunskap"
"MILO1000X","Nivå 1","100","Miljö- och vattenteknik"
"MILO2000X","Nivå 2","200","Miljö- och vattenteknik"
"MJKMJU3","Mjukvarudesign","100","Mjukvarudesign"
"MJUV100TX","Nivå 1","100","Mjukvarudesign"
"MJUV200TX","Nivå 2","100","Mjukvarudesign"
"MMAS1000X","Nivå 1","200","MMA-svetsning rör"
"MNNMAN5","Människan","100","Människan"
"MNUMON01","Mönsterkonstruktion 1","100","Manuell mönsterkonstruktion"
"MNUMON02","Mönsterkonstruktion 2","100","Manuell mönsterkonstruktion"
"MOBBAN0","Bandschaktare","100","Mobila arbetsmaskiner"
"MOBGRV0","Grävmaskiner","200","Mobila arbetsmaskiner"
"MOBHJU0","Hjullastare","200","Mobila arbetsmaskiner"
"MOBI1000X","Nivå 1","100","Mobila maskiner – reparations- och systemteknik"
"MOBI2000X","Nivå 2","100","Mobila maskiner – reparations- och systemteknik"
"MOBL1000X","Nivå 1","100","Mobila maskiner – system- och diagnosteknik"
"MOBL2000X","Nivå 2","100","Mobila maskiner – system- och diagnosteknik"
"MOBL3000X","Nivå 3","100","Mobila maskiner – system- och diagnosteknik"
"MOBTEL0","Teleskoplastare","100","Mobila arbetsmaskiner"
"MOBVAG0","Väghyvel","200","Mobila arbetsmaskiner"
"MODD1A10X","Nivå 1a1","100","Modedesign och sömnad"
"MODD1A20X","Nivå 1a2","100","Modedesign och sömnad"
"MODD1B00X","Nivå 1b","200","Modedesign och sömnad"
"MODD2000X","Nivå 2","200","Modedesign och sömnad"
"MODD3000X","Nivå 3","100","Modedesign och sömnad"
"MODD4000X","Nivå 4","100","Modedesign och sömnad"
"MODE1000X","Nivå 1","100","Modersmål"
"MODE2000X","Nivå 2","100","Modersmål"
"MODE3000X","Nivå 3","100","Modersmål"
"MODF1000X","Nivå 1","100","Moderna språk – fördjupning"
"MODF2000X","Nivå 2","100","Moderna språk – fördjupning"
"MODF3000X","Nivå 3","100","Moderna språk – fördjupning"
"MODG1000X","Nivå 1","100","Moderna språk – grund"
"MODO1000X","Nivå 1","100","Moderna språk – fortsättning"
"MODO2000X","Nivå 2","100","Moderna språk – fortsättning"
"MODR1N0","Nivå 1","100","Modersmål"
"MODR2N0","Nivå 2","100","Modersmål"
"MODS1N0","Nivå 1","100","Moderna språk"
"MODXXX01","Moderna språk 1","100","Moderna språk"
"MODXXX02","Moderna språk 2","100","Moderna språk"
"MODXXX03","Moderna språk 3","100","Moderna språk"
"MODXXX04","Moderna språk 4","100","Moderna språk"
"MODXXX05","Moderna språk 5","100","Moderna språk"
"MODXXX06","Moderna språk 6","100","Moderna språk"
"MODXXX07","Moderna språk 7","100","Moderna språk"
"MODY1000X","Nivå 1","100","Moderna språk – nybörjare"
"MODZHO01","Kinesiska 1","100","Moderna språk"
"MODZHO02","Kinesiska 2","100","Moderna språk"
"MODZHO03","Kinesiska 3","100","Moderna språk"
"MODZHO04","Kinesiska 4","100","Moderna språk"
"MODZHO05","Kinesiska 5","100","Moderna språk"
"MODZHO06","Kinesiska 6","100","Moderna språk"
"MODZHO07","Kinesiska 7","100","Moderna språk"
"MOEMOD0","Modersmål – aktiv tvåspråkighet","100","Modersmål"
"MOEXXX01","Modersmål 1","100","Modersmål"
"MOEXXX02","Modersmål 2","100","Modersmål"
"MOIMOB3","Mobila applikationer","100","Mobila applikationer"
"MOLMOB0","Mobila maskiner – kraftöverföring","100","Mobila maskiner – reparations- och systemteknik"
"MOLMOB01","Mobila maskiner – system- och diagnosteknik 1","100","Mobila maskiner – reparations- och systemteknik"
"MOLMOB02","Mobila maskiner – system- och diagnosteknik 2","100","Mobila maskiner – reparations- och systemteknik"
"MOLMOI0","Mobila maskiner – hydraulsystem","200","Mobila maskiner – reparations- och systemteknik"
"MONXXX5","Moderna språk","100","Moderna språk"
"MOOMOT5","Motorsåg","100","Motor- och röjmotorsåg"
"MOOROJ5","Röjmotorsåg","100","Motor- och röjmotorsåg"
"MOSXXX51","Modersmål 1","100","Modersmål"
"MOSXXX52","Modersmål 2","100","Modersmål"
"MOTE1000X","Nivå 1","100","Möten och event"
"MOTE2000X","Nivå 2","100","Möten och event"
"MOTE3000X","Nivå 3","100","Möten och event"
"MOTMOT01","Motor- och röjmotorsåg 1","100","Motor- och röjmotorsåg"
"MOTMOT02","Motor- och röjmotorsåg 2","100","Motor- och röjmotorsåg"
"MOTO1000X","Nivå 1","100","Motor- och röjmotorsåg"
"MOTO2000X","Nivå 2","100","Motor- och röjmotorsåg"
"MOTR1N0","Nivå 1","100","Motorsåg"
"MUIARA01","Arrangering och komposition 1","100","Musikteori"
"MUIARA02","Arrangering och komposition 2","100","Musikteori"
"MUIGEH01","Gehörs- och musiklära 1","100","Musikteori"
"MUIGEH02","Gehörs- och musiklära 2","100","Musikteori"
"MUIK1N0","Nivå 1","100","Musik"
"MUIK2N0","Nivå 2","100","Musik"
"MUKMUP5","Musikproduktion","100","Musik"
"MUKMUS50S","Musik – specialområde","100","Musik"
"MUKMUS51","Musik 1","100","Musik"
"MUKMUS52","Musik 2","100","Musik"
"MURMUR01","Mur- och putsverk 1 – grundmurar","100","Mur- och putsverk"
"MURMUR02","Mur- och putsverk 2 – murverk","100","Mur- och putsverk"
"MURMUR03","Mur- och putsverk 3 – puts","100","Mur- och putsverk"
"MURO1000X","Nivå 1","100","Mur- och putsverk"
"MURO2000X","Nivå 2","200","Mur- och putsverk"
"MURO3000X","Nivå 3","200","Mur- och putsverk"
"MUSBRU0","Bruksspel och ackompanjemang","100","Musik"
"MUSE1000X","Nivå 1","100","Musikteori – komposition"
"MUSENE0","Ensembleledning och dirigering","100","Musik"
"MUSENS0","Ensemble med körsång","200","Musik"
"MUSENS01","Ensemble 1","100","Musik"
"MUSENS02S","Ensemble 2","100","Musik"
"MUSF100DX","Nivå 1","50","Musik för yrkesdansare"
"MUSF200DX","Nivå 2","100","Musik för yrkesdansare"
"MUSI1000X","Nivå 1","100","Musik"
"MUSINS01S","Instrument eller sång 1","100","Musik"
"MUSINS02S","Instrument eller sång 2","100","Musik"
"MUSINS03S","Instrument eller sång 3","100","Musik"
"MUSK1N0","Nivå 1","100","Musikproduktion"
"MUSKÖS01","Körsång 1","100","Musik"
"MUSKÖS02S","Körsång 2","100","Musik"
"MUSMUI0","Musikimprovisation","100","Musik"
"MUSMUK0","Musik för yrkesdansare","50","Musik"
"MUSMUS0","Musik","100","Musik"
"MUSMUS01","Musikproduktion 1","100","Musik"
"MUSMUS02","Musikproduktion 2","100","Musik"
"MUSP1000X","Nivå 1","100","Musikproduktion"
"MUSP2000X","Nivå 2","100","Musikproduktion"
"MUSRYT0","Rytmik","100","Musik"
"MUST1000X","Nivå 1","100","Musikteori"
"MUST2000X","Nivå 2","100","Musikteori"
"MUST3000X","Nivå 3","100","Musikteori"
"MÄIMÄN01","Människan i industrin 1","100","Människan i industrin"
"MÄIMÄN02","Människan i industrin 2","100","Människan i industrin"
"MÄKMÄK01","Människans språk 1","100","Människans språk"
"MÄKMÄK02","Människans språk 2","100","Människans språk"
"MÄNETI0","Etik och människans livsvillkor","100","Människan"
"MÄNINA0","Internationellt arbete","100","Människan"
"MÄSMÄN0","Människans säkerhet","100","Människans säkerhet"
"MÄTDIS0","Distribuerade styrsystem","100","Mät-, styr- och reglerteknik"
"MÄTMÄO0","Mät- och styrteknik","100","Mät-, styr- och reglerteknik"
"MÄTMÄT0","Mät- och reglerteknik","100","Mät-, styr- och reglerteknik"
"MÄTPRR0","Programmerbara styrsystem","100","Mät-, styr- och reglerteknik"
"MÅTBRC0","Branschkunskap inom restaurang och livsmedel","100","Måltids- och branschkunskap"
"NAANAT5","Naturbruk","200","Naturbruk"
"NAENAT30S","Naturvetenskaplig spets","50","Naturvetenskaplig spets inom försöksverksamhet med riksrekryterande gymnasial spetsutbildning"
"NAGGUD0","Guidning i naturbruksmiljöer","100","Naturguidning"
"NAGNAT01","Naturguidning 1","100","Naturguidning"
"NAGNAT02","Naturguidning 2","200","Naturguidning"
"NAIADM0","Administration av nätverks- och serverutrustning","100","Nätverksteknik"
"NAINAE0","Nätverkssäkerhet","100","Nätverksteknik"
"NAINAK0","Nätverksteknologier","100","Nätverksteknik"
"NAINAR0","Nätverksteknik","100","Nätverksteknik"
"NAINAV0","Nätverksadministration","100","Nätverksteknik"
"NAKNAK01a1","Naturkunskap 1a1","50","Naturkunskap"
"NAKNAK01a2","Naturkunskap 1a2","50","Naturkunskap"
"NAKNAK01b","Naturkunskap 1b","100","Naturkunskap"
"NAKNAK02","Naturkunskap 2","100","Naturkunskap"
"NAMNAT01","Naturturism 1","100","Naturturism"
"NAMNAT02","Naturturism 2","100","Naturturism"
"NAMNAT03","Naturturism 3","100","Naturturism"
"NANATE51","Återvinning och kretslopp 1","100","Naturkunskap"
"NANATE52","Återvinning och kretslopp 2","100","Naturkunskap"
"NANNAT51","Naturkunskap 1","50","Naturkunskap"
"NANNAT52","Naturkunskap 2","100","Naturkunskap"
"NANNAT53","Naturkunskap 3","100","Naturkunskap"
"NARBYA0","Byggnadsunderhåll","100","Naturbrukets byggnader"
"NARHAS01","Hästsportanläggningars skötsel och drift 1","100","Naturbrukets byggnader"
"NARHAS02","Hästsportanläggningars skötsel och drift 2","100","Naturbrukets byggnader"
"NASNAT5","Naturbruksteknik","100","Naturbruksteknik"
"NASNAT50S","Naturbruksteknik – specialområde","100","Naturbruksteknik"
"NATA100PX","Nivå 1","100","Naturvetenskaplig spets"
"NATA200PX","Nivå 2","100","Naturvetenskaplig spets"
"NATB1000X","Nivå 1","200","Naturbruk"
"NATE1000X","Nivå 1","100","Nätverksadministration"
"NATE2000X","Nivå 2","100","Nätverksadministration"
"NATK1N0","Nivå 1","100","Naturbruksteknik"
"NATK2N0","Nivå 2","100","Naturbruksteknik"
"NATL1000X","Nivå 1","100","Natur- och landskapsvård"
"NATNAT0","Natur- och landskapsvård","100","Natur- och landskapsvård"
"NATO100TX","Nivå 1","100","Nätverks- och kommunikationstjänster"
"NATO200TX","Nivå 2","100","Nätverks- och kommunikationstjänster"
"NATR1N0","Nivå 1","50","Naturkunskap"
"NATR2N0","Nivå 2","100","Naturkunskap"
"NATS1000X","Nivå 1","100","Naturvetenskaplig specialisering"
"NATT1000X","Nivå 1","100","Naturturism"
"NATT2000X","Nivå 2","100","Naturturism"
"NATT3000X","Nivå 3","100","Naturturism"
"NATU1A10X","Nivå 1a1","50","Naturkunskap"
"NATU1A20X","Nivå 1a2","50","Naturkunskap"
"NATU1B00X","Nivå 1b","100","Naturkunskap"
"NATU2000X","Nivå 2","100","Naturkunskap"
"NATV1000X","Nivå 1","100","Nätverksteknologier"
"NATV2000X","Nivå 2","100","Nätverksteknologier"
"NAUNAU0","Naturbruk","200","Naturbruk"
"NAUR1N0","Nivå 1","200","Naturbruk"
"NAVNAT00S","Naturvetenskaplig specialisering","100","Naturvetenskaplig specialisering"
"ODIODI00S","Odling i växthus – specialisering","100","Odling i växthus"
"ODIODL01","Odling i växthus 1","100","Odling i växthus"
"ODIODL02","Odling i växthus 2","100","Odling i växthus"
"OMVOMV01","Omvårdnad 1","100","Omvårdnad"
"OMVOMV02","Omvårdnad 2","100","Omvårdnad"
"OMVR1000X","Nivå 1","100","Omvårdnad"
"OMVR2000X","Nivå 2","100","Omvårdnad"
"ORIG1000X","Nivå 1","100","Original, reproduktion och prepress"
"PALV1000X","Nivå 1","100","Pälsvård och hundfrisering"
"PALV2000X","Nivå 2","100","Pälsvård och hundfrisering"
"PEAVÅD0","Vårdpedagogik och handledning","100","Pedagogik i vård och omsorg"
"PEDA1000X","Nivå 1","200","Pedagogiskt arbete"
"PEDAKI00S","Aktivitetsledarskap","100","Pedagogik"
"PEDBAS0","Barns lärande och växande","100","Pedagogik"
"PEDG1000X","Nivå 1","100","Pedagogik"
"PEDG2000X","Nivå 2","100","Pedagogik"
"PEDG3000X","Nivå 3","100","Pedagogik"
"PEDKOU0","Kommunikation","100","Pedagogik"
"PEDLÄR0","Lärande och utveckling","100","Pedagogik"
"PEDMÄI0","Människors miljöer","100","Pedagogik"
"PEDPED0","Pedagogiska teorier och praktiker","100","Pedagogik"
"PEDPEG0","Pedagogiskt ledarskap","100","Pedagogik"
"PEGDRA0","Dramapedagogik","100","Pedagogiskt arbete"
"PEGPEA0","Pedagogiskt arbete","200","Pedagogiskt arbete"
"PEGSKP0","Skapande verksamhet","100","Pedagogiskt arbete"
"PERA1000X","Nivå 1","100","Personaladministration"
"PERB1000X","Nivå 1","200","Personbilar – reparations- och systemteknik"
"PERB2000X","Nivå 2","200","Personbilar – reparations- och systemteknik"
"PERI1000X","Nivå 1","200","Personbilar – service och underhållsteknik"
"PERI2000X","Nivå 2","200","Personbilar – service och underhållsteknik"
"PERL1000X","Nivå 1","100","Personbilar – system- och diagnosteknik"
"PERL2000X","Nivå 2","100","Personbilar – system- och diagnosteknik"
"PERL3000X","Nivå 3","100","Personbilar – system- och diagnosteknik"
"PERN1000X","Nivå 1","100","Persontransporter – beställningstrafik"
"PERO1000X","Nivå 1","100","Persontransporter – skolskjutstrafik"
"PERP100VX","Nivå 1","200","Persontransporter – vux"
"PERP200VX","Nivå 2","100","Persontransporter – vux"
"PERR1000X","Nivå 1","100","Persontransporter – taxitrafik"
"PERS1000X","Nivå 1","200","Persontransporter"
"PERS2000X","Nivå 2","200","Persontransporter"
"PERS3000X","Nivå 3","100","Persontransporter"
"PERT1000X","Nivå 1","100","Persontransporter – sjuktransport"
"PESO1000X","Nivå 1","100","Pedagogiskt och socialt arbete – specialisering"
"PESPER00S","Persontransporter – specialisering","100","Persontransporter"
"PESPER01a","Persontrafik 1a","200","Persontransporter"
"PESPER01b","Persontrafik 1b","200","Persontransporter"
"PESPER1","Persontrafik – vux","200","Persontransporter"
"PESTAX0","Taxitrafik","100","Persontransporter"
"PISA1000X","Nivå 1","200","Pistmaskiner – reparations- och systemteknik"
"PISA2000X","Nivå 2","100","Pistmaskiner – reparations- och systemteknik"
"PISM1000X","Nivå 1","200","Pistmaskinsförare"
"PISM2000X","Nivå 2","200","Pistmaskinsförare"
"PLAA1000X","Nivå 1","100","Plattsättning"
"PLAA2000X","Nivå 2","200","Plattsättning"
"PLAL1000X","Nivå 1","100","Plåtslageri – titanzinkplåt"
"PLAS1000X","Nivå 1","100","Plåtslageri – kopparplåt"
"PLAT1000X","Nivå 1","100","Plåtslageri – svetsmetoder"
"PLTBYG01","Byggnadsplåtslageri 1","200","Plåtslageriteknik"
"PLTBYG02","Byggnadsplåtslageri 2","200","Plåtslageriteknik"
"PLTBYG03","Byggnadsplåtslageri 3","200","Plåtslageriteknik"
"PLTBYG04","Byggnadsplåtslageri 4","200","Plåtslageriteknik"
"PLTKUU0","Kulturplåtslageri","100","Plåtslageriteknik"
"PLTLÄT0","Lättbyggnadsteknik","200","Plåtslageriteknik"
"PLTPLT0","Plåtslageri – svetstekniker","100","Plåtslageriteknik"
"PLÅPLS0","Plåtslageriprocessen","200","Plåtslageri"
"PLÅPLÅ0","Plåtslageri – grunder","100","Plåtslageri"
"POLT1000X","Nivå 1","100","Politik och hållbar utveckling"
"POLT2000X","Nivå 2","100","Politik och hållbar utveckling"
"PRAK1000X","Nivå 1","100","Praktisk marknadsföring"
"PRAK2000X","Nivå 2","100","Praktisk marknadsföring"
"PRAT1N0","Nivå 1","100","Praktisk marknadsföring"
"PRCPRO31","Processteknik – energi 1","100","Processteknik – energi"
"PRCPRO32","Processteknik – energi 2","100","Processteknik – energi"
"PRDPRO01","Produktionskunskap 1","100","Produktionskunskap"
"PRDPRO02","Produktionskunskap 2","100","Produktionskunskap"
"PREKEM31","Processteknik – kemi 1","100","Processteknik – kemi"
"PREKEM32","Processteknik – kemi 2","100","Processteknik – kemi"
"PRFPRF01","Industriteknisk fördjupning 1","50","Industriteknisk fördjupning"
"PRFPRF02","Industriteknisk fördjupning 2","50","Industriteknisk fördjupning"
"PRIPRO31","Produktionsfilosofi 1","100","Produktionsfilosofi"
"PRIPRO32","Produktionsfilosofi 2","100","Produktionsfilosofi"
"PRJE100TX","Nivå 1","100","Projektering – VVS"
"PRKPRK01","Produktutveckling 1","100","Produktutveckling"
"PRKPRK02","Produktutveckling 2","100","Produktutveckling"
"PRNIND3","Industriell digitalisering","100","Produktionsutveckling"
"PRNPRO31","Produktionsutveckling 1","100","Produktionsutveckling"
"PRNPRO32","Produktionsutveckling 2","100","Produktionsutveckling"
"PROA100TX","Nivå 1","100","Programmering, datastrukturer och algoritmer"
"PROA200TX","Nivå 2","100","Programmering, datastrukturer och algoritmer"
"PROC1000X","Nivå 1","100","Processautomation"
"PROC2000X","Nivå 2","100","Processautomation"
"PROD1000X","Nivå 1","100","Produktionsmetoder"
"PROD2000X","Nivå 2","100","Produktionsmetoder"
"PROE100TX","Nivå 1","100","Processteknik"
"PROE200TX","Nivå 2","100","Processteknik"
"PROG1000X","Nivå 1","100","Programmering"
"PROG2000X","Nivå 2","100","Programmering"
"PROI1000X","Nivå 1","100","Produktionsutrustning"
